Size (Kb),Time (s),Throughput (Kb/s)
0.045,0.001517058,29.66267605
0.054,0.000888258,60.79314794
0.029,0.000743206,39.02013708
0.039,0.000729821,53.43776077
0.056,0.000771829,72.55493121
0.036,0.000691389,52.06909569
0.033,0.000725131,45.50901837
0.023,0.000802637,28.65554416
0.026,0.000787649,33.00962738
0.058,0.000764906,75.82631068
0.031,0.000717958,43.1780132
0.021,0.000752923,27.89129831
0.031,0.000796976,38.89703078
0.021,0.000715203,29.36229294
0.02,0.000720743,27.7491422
0.02,0.000693993,28.81873448
0.057,0.000766579,74.35632857
0.052,0.00073496,70.75214978
0.032,0.000729509,43.86512024
0.036,0.000737886,48.78802417
0.02,0.000723108,27.65838575
0.027,0.00072428,37.27840062
0.042,0.000730281,57.51210835
0.051,0.000745349,68.42432203
0.033,0.000730662,45.16452204
0.034,0.000724901,46.9029564
0.023,0.000723208,31.80274554
0.059,0.000694033,85.01036694
0.07,0.000732085,95.6173122
0.025,0.000753084,33.19682798
0.034,0.000733958,46.32417659
0.06,0.000711967,84.27356886
0.154,0.00074026,208.0350147
0.016,0.000722998,22.13007505
0.021,0.000726585,28.90233077
0.023,0.000756219,30.41446988
0.054,0.000742514,72.72590146
0.046,0.000733167,62.74150364
0.068,0.000721464,94.25279709
0.026,0.000712047,36.51444357
0.02,0.000773242,25.86512373
0.027,0.000799732,33.76131004
0.042,0.000898096,46.7656019
0.02,0.000731153,27.35405585
0.018,0.000722055,24.92884891
0.075,0.00077224,97.1200663
0.049,0.000900692,54.40261488
0.038,0.000886485,42.86592554
0.058,0.000958309,60.5232759
0.029,0.000827093,35.06256249
0.089,0.00124108,71.71173494
0.022,0.001013623,21.70432202
0.023,0.000965683,23.81733964
0.059,0.001087061,54.27478311
0.018,0.000819218,21.97217346
0.027,0.000810972,33.29338128
0.051,0.00082533,61.79346443
0.201,0.000808427,248.6309834
0.063,0.000735902,85.60922514
0.026,0.00084151,30.8968402
0.063,0.00072999,86.30255209
0.039,0.000737284,52.89684843
0.02,0.000806785,24.78975192
0.021,0.000794852,26.42001278
0.028,0.000773372,36.2050863
0.017,0.000818306,20.77462465
0.02,0.000834597,23.9636615
0.066,0.000759696,86.87685601
