Size (Kb),Time (s),Throughput (Kb/s)
1.282,0.001154738,1110.208549
0.003,0.000700505,4.282624678
0.002,0.000776998,2.5740092
0.007,0.000748355,9.353849443
0.022,0.000752873,29.22139591
5.434,0.001162802,4673.194577
0.235,0.000789511,297.6525976
0.004,0.000753554,5.308179639
0.022,0.00070837,31.05721586
0.037,0.000734047,50.40549175
0.004,0.000739487,5.409155266
0.122,0.000736111,165.7358741
0.118,0.000726965,162.3186811
0.002,0.000714391,2.799587341
0.326,0.000800593,407.1981644
0.042,0.000727906,57.69975794
0.035,0.000758423,46.14838949
0.008,0.00074075,10.799865
0.489,0.000769464,635.5073142
0.01,0.000751811,13.30121533
0.165,0.000755628,218.3614159
0.016,0.000741532,21.5769515
0.01,0.000732134,13.65870182
0.093,0.000747342,124.441019
0.618,0.000788439,783.827284
0.756,0.000764665,988.6682403
1.268,0.000800303,1584.399909
0.011,0.00074053,14.85422603
0.014,0.000801063,17.47677773
0.046,0.000737103,62.40647508
0.171,0.000716685,238.5985475
0.164,0.000718308,228.3143164
0.006,0.000869101,6.903685533
0.014,0.000719451,19.45928215
0.2,0.00071392,280.1434334
0.004,0.000707428,5.654285666
0.01,0.000733286,13.63724386
0.03,0.000732655,40.94696685
0.154,0.000778411,197.8389308
0.067,0.000832833,80.44830116
2.589,0.001090517,2374.103292
0.006,0.000851559,7.045900519
0.008,0.000738146,10.83796431
0.035,0.000740039,47.29480473
0.099,0.000699743,141.480515
0.021,0.000823435,25.50292373
0.011,0.001021477,10.7687202
0.013,0.000877397,14.81655397
0.005,0.000928683,5.38396848
0.173,0.000849003,203.7684201
0.987,0.000942198,1047.550515
0.01,0.000886354,11.28217394
0.002,0.001089215,1.836184775
0.086,0.001056753,81.38136348
0.015,0.000752903,19.92288515
0.011,0.000733036,15.00608429
1.979,0.000886294,2232.893374
0.017,0.000749797,22.67280344
0.01,0.00069264,14.43751444
0.005,0.00072466,6.899787487
0.312,0.000754206,413.6800821
0.03,0.000909848,32.97254047
0.003,0.000730721,4.105534123
0.01,0.000729469,13.70860174
0.013,0.000721814,18.01017991
0.005,0.000723848,6.907527547
0.029,0.000737604,39.31648961
0.023,0.000726534,31.65715576
0.078,0.000707157,110.3008243
0.084,0.000763192,110.0640468
0.087,0.000731883,118.871459
0.173,0.000751691,230.1477602
0.008,0.000738796,10.82842896
0.009,0.000741241,12.14180004
0.004,0.000739899,5.406143271
0.006,0.000723588,8.292011476
0.005,0.000733777,6.814059312
0.025,0.000751961,33.24640507
2.568,0.00099074,2592.001938
0.023,0.000747192,30.78191415
0.022,0.000761279,28.89873489
0.004,0.000754025,5.304863897
0.032,0.000730831,43.78577263
0.005,0.000811222,6.16354093
1.789,0.000898336,1991.459766
0.217,0.000745419,291.111442
0.01,0.000714151,14.0026409
0.012,0.000741451,16.18448151
0.047,0.000717566,65.49920147
0.024,0.000753714,31.84231685
0.297,0.000750208,395.8902064
0.009,0.000676379,13.30614936
0.017,0.000710424,23.92937176
0.018,0.000741252,24.28323971
0.004,0.000720662,5.550452223
0.042,0.000775114,54.18557786
0.006,0.000690706,8.686763978
0.031,0.000690736,44.87966459
0.019,0.000710112,26.75634266
0.026,0.000751361,34.60387217
0.024,0.000716264,33.50719846
0.009,0.000752292,11.96343973
0.003,0.000722936,4.149744929
0.004,0.000749967,5.33356801
2.135,0.000866777,2463.147961
0.106,0.000782128,135.5276886
0.023,0.000739187,31.11526583
0.133,0.00076733,173.3282942
0.007,0.000703571,9.949244639
1.113,0.000864492,1287.461307
0.241,0.000789422,305.2866528
0.018,0.000750258,23.99174684
0.008,0.000746311,10.71939178
0.006,0.000745419,8.049164296
0.535,0.000802276,666.8528038
1.974,0.0008949,2205.833054
0.008,0.000720903,11.09719338
0.004,0.000710533,5.62957667
2.131,0.000920617,2314.751954
0.007,0.000787608,8.887670008
