Size (Kb),Time (s),Throughput (Kb/s)
0.959,0.001408291,680.9672149
202.918,0.016306191,12444.23054
0.001,0.000810913,1.233177912
0.006,0.000821221,7.30619407
96.135,0.007735687,12427.46766
1511.83,0.109189778,13845.89316
1247.937,0.090350096,13812.23768
2.11,0.001227835,1718.471945
195.645,0.015842254,12349.56844
0.001,0.001188575,0.8413436258
843.096,0.062809606,13423.04233
147.234,0.011662803,12624.23793
1498.741,0.107588369,13930.3255
570.78,0.04371853,13055.79122
1637.806,0.12000981,13647.26767
3378.885,0.249972118,13517.04753
1426.203,0.103879727,13729.368
1435.5,0.105082978,13660.63303
209.878,0.016405389,12793.2352
1753.358,0.12643899,13867.22561
94.186,0.008007197,11762.66801
35.275,0.003464691,10181.28312
1911.228,0.136350834,14016.98797
1479.112,0.10833181,13653.53353
0.322,0.000802758,401.1171486
693.552,0.051199618,13546.03857
0.014,0.000760332,18.41300905
240.442,0.018274001,13157.60024
125.387,0.010114669,12396.55
846.109,0.061941089,13659.89868
17.436,0.00228379,7634.677444
256.295,0.019501817,13142.10876
325.494,0.024564421,13250.62781
1044.42,0.075089452,13909.01082
2067.53,0.15092535,13699.02405
293.311,0.022205915,13208.68787
164.036,0.012743863,12871.76424
0.001,0.000691378,1.446386781
504.169,0.038356796,13144.18962
627.721,0.046683039,13446.44679
0.004,0.001131732,3.534405672
3167.822,0.224837618,14089.37716
227.289,0.017983457,12638.78241
958.274,0.069841974,13720.60303
759.012,0.056205871,13504.14088
2.797,0.001143964,2445.007011
2951.981,0.218535417,13508.02099
329.399,0.02474666,13310.8468
0.77,0.000902278,853.3955167
0.109,0.00077008,141.5437357
0.612,0.000828475,738.7066598
96.592,0.008289096,11652.89918
0.065,0.000768877,84.53887943
1371.601,0.099431351,13794.45201
441.263,0.032898748,13412.75966
530.358,0.039119051,13557.53748
308.529,0.023730947,13001.12465
875.202,0.064468189,13575.71872
1642.878,0.119247475,13777.04643
1258.322,0.091026777,13823.64664
704.332,0.052365,13450.43445
0.009,0.00080882,11.12732128
117.722,0.009628743,12226.10262
1034.211,0.07579741,13644.41081
437.101,0.032164934,13589.36412
0.087,0.000777853,111.8463257
746.083,0.053840823,13857.19903
0.001,0.000807807,1.237919454
0.004,0.000763809,5.236911322
1724.961,0.125200596,13777.57818
532.719,0.039925626,13342.78391
751.384,0.05498088,13666.27817
1116.641,0.08091363,13800.40668
2071.368,0.148629578,13936.44541
675.349,0.051025103,13235.62247
780.757,0.057471905,13585.02037
1.078,0.000921613,1169.688362
1319.475,0.098632419,13377.7009
368.86,0.028248899,13057.50005
632.295,0.046948228,13467.92045
851.996,0.064456647,13218.12473
0.002,0.000986981,2.02638146
222.279,0.017523487,12684.63292
2.927,0.00133036,2200.156349
2709.59,0.194450542,13934.59731
334.226,0.02502965,13353.2031
0.042,0.00085887,48.90146355
522.298,0.039728662,13146.6295
1171.871,0.086886738,13487.34027
435.145,0.032594399,13350.29985
367.771,0.02814977,13064.79591
589.581,0.044169424,13348.17044
4926.15,0.36962844,13327.30241
158.22,0.012961406,12207.00902
546.88,0.041062117,13318.35862
2781.749,0.205956511,13506.4873
289.986,0.022090467,13127.20098
774.562,0.05706429,13573.49754
65.335,0.005768218,11326.7217
1467.278,0.107919085,13596.09378
0.009,0.000791007,11.37790184
484.534,0.036643715,13222.84053
3908.631,0.290274514,13465.29169
2.88,0.001109001,2596.931833
1496.95,0.10945701,13676.14555
315.764,0.023882711,13221.4471
0.204,0.000804652,253.5257478
424.936,0.032477569,13083.98421
584.489,0.04330859,13495.91386
47.733,0.00457806,10426.46885
1239.141,0.089741829,13807.84205
268.862,0.020428429,13161.16868
253.991,0.019305191,13156.61679
997.071,0.072708606,13713.24599
1359.396,0.097643586,13922.02044
1202.695,0.086950752,13831.91027
903.967,0.065473161,13806.68027
2505.665,0.186883939,13407.59946
664.343,0.049286447,13479.2228
0.001,0.000805744,1.241088981
52.78,0.004817321,10956.29708
1.071,0.000941659,1137.354393
1468.115,0.109938358,13353.98333
1521.178,0.112954641,13467.15802
0.001,0.000827894,1.207884101
601.982,0.044760821,13448.85966
392.564,0.030339801,12938.9115
754.155,0.056241926,13409.12472
686.815,0.050527666,13592.8503
682.074,0.05095143,13386.74891
1354.323,0.09889307,13694.82209
1807.893,0.13333366,13559.16428
342.559,0.026349912,13000.38497
1.586,0.001112056,1426.18717
0.025,0.000878274,28.46492097
945.178,0.069982216,13505.97415
358.3,0.026676983,13431.05403
436.634,0.033177982,13160.35436
954.744,0.07102047,13443.22278
1.634,0.001010754,1616.614923
1338.574,0.097208019,13770.20141
943.356,0.070409979,13398.04405
339.288,0.026059999,13019.49398
1364.261,0.09774551,13957.27538
61.728,0.005553961,11114.23001
622.768,0.046281304,13456.14635
2519.137,0.186877097,13480.18051
