Size (Kb),Time (s),Throughput (Kb/s)
0.959,0.001408291,680.9672149
0.001,0.000810913,1.233177912
0.006,0.000821221,7.30619407
2.11,0.001227835,1718.471945
0.001,0.001188575,0.8413436258
0.322,0.000802758,401.1171486
0.014,0.000760332,18.41300905
0.001,0.000691378,1.446386781
0.004,0.001131732,3.534405672
2.797,0.001143964,2445.007011
0.77,0.000902278,853.3955167
0.109,0.00077008,141.5437357
0.612,0.000828475,738.7066598
0.065,0.000768877,84.53887943
0.009,0.00080882,11.12732128
0.087,0.000777853,111.8463257
0.001,0.000807807,1.237919454
0.004,0.000763809,5.236911322
1.078,0.000921613,1169.688362
0.002,0.000986981,2.02638146
2.927,0.00133036,2200.156349
0.042,0.00085887,48.90146355
0.009,0.000791007,11.37790184
2.88,0.001109001,2596.931833
0.204,0.000804652,253.5257478
0.001,0.000805744,1.241088981
1.071,0.000941659,1137.354393
0.001,0.000827894,1.207884101
1.586,0.001112056,1426.18717
0.025,0.000878274,28.46492097
1.634,0.001010754,1616.614923
1.022,0.000878706,1163.073884
0.945,0.000891459,1060.059969
1.409,0.001166786,1207.590766
0.294,0.000913298,321.9102637
2.924,0.001155285,2530.977205
0.211,0.000794163,265.6885299
0.269,0.000791258,339.9649672
4.327,0.001229288,3519.923728
0.003,0.00077036,3.894283192
0.668,0.000818517,816.1101113
0.038,0.00082015,46.33298787
0.019,0.000793952,23.93091774
0.891,0.000763438,1167.08888
4.326,0.00126911,3408.687978
0.004,0.000903941,4.425067565
0.025,0.000759551,32.91418219
0.445,0.000745836,596.6459114
1.649,0.000804101,2050.737407
0.026,0.00213966,12.15146332
3.335,0.001325161,2516.675332
0.096,0.000918607,104.5060619
0.008,0.00081986,9.757763521
0.034,0.000795756,42.72666496
0.003,0.000816614,3.673706304
0.001,0.000836951,1.194813077
0.001,0.000850735,1.175454166
0.003,0.000810863,3.699761859
0.015,0.000819689,18.29962339
0.763,0.000927704,822.4606124
0.008,0.000835868,9.570889183
6.791,0.001682296,4036.74502
3.635,0.002458325,1478.64908
0.002,0.001684729,1.187134548
0.658,0.001054583,623.9433027
0.004,0.00184046,2.173369701
0.015,0.000817124,18.35706698
0.008,0.000816022,9.803657254
0.001,0.000811344,1.232522826
0.061,0.00092043,66.27337223
0.065,0.000734675,88.47449553
0.69,0.000902057,764.9184032
1.017,0.000906285,1122.163558
6.81,0.001359734,5008.332512
0.001,0.000866794,1.153676652
1.414,0.001024389,1380.335009
0.002,0.000862466,2.318931993
0.002,0.000807507,2.476758715
0.685,0.000902649,758.8774817
0.012,0.000743552,16.13875022
0.321,0.000880108,364.7279652
0.001,0.000812716,1.230442122
0.004,0.000803269,4.979651897
0.091,0.001015201,89.63742155
0.347,0.000994434,348.9422124
0.167,0.00084852,196.8132749
0.005,0.000811204,6.163677694
0.059,0.000821692,71.80306003
0.006,0.000798852,7.510777966
0.002,0.001841927,1.085819362
0.002,0.000816583,2.449230513
1.369,0.001087481,1258.872569
3.536,0.000998825,3540.159688
7.832,0.001568473,4993.391662
0.464,0.001010546,459.1577227
0.354,0.000907303,390.1673421
1.025,0.000918474,1115.981508
1.466,0.000933452,1570.514606
0.005,0.000840938,5.945741541
0.066,0.000844766,78.12814436
0.286,0.000813757,351.4562701
0.001,0.001011759,0.988377667
6.398,0.001160578,5512.770361
4.381,0.001368679,3200.896631
0.049,0.000843213,58.11105853
1.297,0.000954642,1358.62449
0.023,0.000864683,26.59934334
4.635,0.001408384,3291.005862
4.208,0.00125705,3347.519987
14.289,0.001968234,7259.807523
0.012,0.000903867,13.27628954
0.001,0.000906121,1.103605368
5.023,0.001370262,3665.722322
0.509,0.001006379,505.7736698
0.001,0.000951736,1.050711542
0.278,0.000957998,290.1884973
0.003,0.000696136,4.309502741
1.619,0.001134689,1426.82268
0.001,0.000837241,1.194399223
9.39,0.001681065,5585.744751
0.314,0.00080446,390.323944
1.693,0.000955584,1771.691447
0.022,0.000802356,27.41925031
0.027,0.000805201,33.53200008
1.483,0.000934544,1586.870174
0.636,0.000870745,730.4090176
0.444,0.001042927,425.7249069
0.002,0.000844074,2.369460498
0.028,0.000849755,32.95067402
0.003,0.000899398,3.335564455
0.294,0.000833764,352.6177671
0.714,0.000865615,824.847074
0.19,0.000753996,251.9907267
1.611,0.000983696,1637.701078
4.671,0.001599762,2919.809322
0.012,0.000833905,14.39012837
0.001,0.000829006,1.206263887
0.003,0.000848563,3.535388651
3.231,0.001435765,2250.368271
3.151,0.001292606,2437.711105
0.02,0.000808988,24.72224557
3.425,0.001186587,2886.429735
0.05,0.000796495,62.77503311
5.291,0.001387624,3812.992569
0.296,0.000827884,357.5380126
0.004,0.000900279,4.443067094
6.751,0.001581007,4270.06332
2.799,0.001073835,2606.545698
0.002,0.001005498,1.989064125
0.178,0.000869862,204.6301597
0.872,0.001164175,749.0282818
0.306,0.001240979,246.579515
0.597,0.001091138,547.1351928
0.014,0.000784362,17.8489014
0.005,0.000782679,6.388315005
2.665,0.001059289,2515.838454
0.024,0.000778431,30.83124901
2.561,0.001030153,2486.038482
0.004,0.000766618,5.217722516
0.004,0.000767531,5.211515887
2.325,0.000997051,2331.876704
8.665,0.001637724,5290.879293
0.023,0.000792778,29.01190497
0.02,0.00075626,26.44593129
0.238,0.000809479,294.0162747
0.004,0.000791035,5.056666266
0.008,0.000856668,9.338506866
0.021,0.000833003,25.20999324
0.002,0.000869993,2.298869071
0.007,0.000792698,8.830601313
2.216,0.00103895,2132.922662
2.069,0.00101217,2044.123023
0.002,0.000803027,2.490576282
1.331,0.00091619,1452.755433
0.008,0.000827764,9.66459039
0.003,0.000833355,3.599906402
0.004,0.00076715,5.214104152
0.015,0.000819138,18.31193279
0.001,0.000849534,1.177115925
0.949,0.001461503,649.3315443
0.599,0.000861477,695.3174606
3.427,0.001316,2604.103343
0.003,0.000919325,3.263263808
0.911,0.000930737,978.7942244
0.007,0.000858782,8.151079086
0.28,0.000903926,309.7598697
0.442,0.000857549,515.4224423
0.774,0.000903095,857.052691
3.748,0.001267839,2956.211317
0.549,0.00086353,635.7625097
3.22,0.001239817,2597.157484
0.001,0.000817354,1.223460092
0.008,0.000828425,9.656879017
0.029,0.000823446,35.21785278
0.004,0.00090579,4.416034622
2.089,0.001249856,1671.392544
0.002,0.000797176,2.508856263
0.082,0.000790444,103.7391643
0.668,0.00085244,783.6328657
0.312,0.000812024,384.2250968
0.001,0.000797366,1.25412922
0.004,0.000857369,4.665435769
0.001,0.000923684,1.082621329
0.003,0.000881444,3.403506065
0.78,0.000990279,787.6568119
0.009,0.000791385,11.37246726
0.606,0.00113477,534.0289222
0.001,0.00087397,1.144204034
0.154,0.000833084,184.8553087
0.004,0.00097994,4.081882564
0.002,0.000760437,2.630066659
0.078,0.000792087,98.47403126
0.042,0.000821362,51.13457891
0.087,0.001223467,71.10939649
0.008,0.000906361,8.826505112
0.209,0.000837011,249.6980326
0.002,0.000848964,2.355812496
1.395,0.000880432,1584.449452
0.89,0.000912963,974.8478306
0.719,0.000780284,921.4593661
0.003,0.00079398,3.778432706
0.151,0.000911741,165.6172093
1.849,0.001140861,1620.705765
0.645,0.000955223,675.2349975
0.002,0.000772831,2.587887908
0.001,0.000773903,1.2921516
2.255,0.001027158,2195.377926
0.011,0.000797346,13.79576746
0.002,0.000774253,2.58313497
0.855,0.000768151,1113.062406
0.002,0.000893837,2.237544429
0.002,0.000833845,2.398527304
0.02,0.000877147,22.80119524
0.002,0.000875393,2.284688134
10.473,0.00156634,6686.287779
0.001,0.000859733,1.163151816
0.053,0.000753053,70.38017244
0.283,0.000831561,340.3238007
0.391,0.000845387,462.5100694
0.594,0.000850706,698.2435765
0.032,0.000758504,42.18830751
0.059,0.001095917,53.8361938
0.001,0.00082582,1.210917633
0.235,0.000854113,275.139238
0.049,0.000780264,62.79925769
0.034,0.000802556,42.36464496
0.004,0.000787868,5.076992593
0.03,0.000804841,37.27444303
2.674,0.001105385,2419.06666
0.009,0.000800813,11.23857879
0.895,0.000882326,1014.364305
1.34,0.000915047,1464.405653
1.287,0.001061562,1212.364421
0.009,0.000781898,11.51045277
0.637,0.000840067,758.272852
0.006,0.000776978,7.722226369
0.001,0.00078863,1.268021759
0.01,0.00077238,12.946995
1.391,0.000947909,1467.44044
0.001,0.000766036,1.305421677
0.001,0.000796163,1.256024206
0.619,0.000874099,708.1577716
0.914,0.000915276,998.605885
0.448,0.000837019,535.2327725
5.34,0.001340754,3982.83354
0.012,0.000747641,16.05048412
0.105,0.001426134,73.62562003
0.001,0.000784841,1.274143425
0.002,0.000785963,2.544649048
0.038,0.000811372,46.83425112
0.002,0.000774262,2.583104944
0.002,0.000761859,2.625157674
3.774,0.001167449,3232.689394
1.155,0.000913253,1264.709779
2.469,0.001033688,2388.535032
0.059,0.000793648,74.34026168
0.001,0.000809628,1.235135148
0.002,0.000784361,2.549846308
0.708,0.000852839,830.168414
3.742,0.001147522,3260.93966
0.001,0.000777428,1.28629275
0.291,0.001124629,258.7519973
0.001,0.000881974,1.133820271
0.003,0.000823965,3.64093135
0.021,0.000831028,25.26990667
2.406,0.001044659,2303.143897
0.038,0.000793528,47.88740914
3.586,0.001170224,3064.370582
7.681,0.001553604,4943.988301
0.013,0.00076302,17.03756127
0.01,0.000774963,12.90384186
0.978,0.000887454,1102.02895
0.22,0.000799269,275.2515111
0.007,0.00078399,8.928685315
0.002,0.000802264,2.492944966
0.048,0.000795622,60.33015678
2.696,0.001165345,2313.477983
0.043,0.000918732,46.80363806
0.001,0.000927329,1.078365931
1.306,0.000927269,1408.437034
0.002,0.000777989,2.570730434
0.941,0.000894527,1051.952596
2.986,0.00109819,2719.019478
0.001,0.00078906,1.267330748
0.002,0.000784261,2.550171435
0.015,0.00077348,19.39287377
0.318,0.000983203,323.432699
0.004,0.000840536,4.758868151
0.04,0.000781114,51.20891445
0.003,0.000780243,3.844955994
3.978,0.001195662,3327.027203
2.382,0.001030061,2312.484406
0.851,0.000870453,977.6518663
0.009,0.000830247,10.84014757
0.003,0.00077298,3.881083599
0.002,0.000829235,2.411861535
0.474,0.000823824,575.3656121
0.014,0.000775494,18.05300879
0.006,0.000643637,9.322024682
0.967,0.000891291,1084.943077
0.955,0.000988583,966.0291549
0.424,0.002249077,188.5217803
0.431,0.000817754,527.0533681
0.256,0.000791685,323.3609327
0.054,0.000785392,68.75547497
1.295,0.000926758,1397.344291
0.069,0.000793928,86.9096442
2.46,0.001033698,2379.80532
1.325,0.000903394,1466.691167
0.001,0.000811412,1.232419535
10.767,0.00182389,5903.316538
0.041,0.0006822,60.09967751
0.077,0.00081077,94.9714469
2.477,0.000946515,2616.968564
2.463,0.000976852,2521.364547
1.719,0.001067561,1610.212438
1.727,0.001042675,1656.316685
0.938,0.000937257,1000.792739
0.108,0.000800721,134.8784408
3.493,0.001324273,2637.673652
0.008,0.000802414,9.969915779
0.061,0.000990678,61.57399276
0.16,0.000861726,185.6738685
0.052,0.000840506,61.8674941
0.076,0.000870011,87.35521735
5.075,0.001135429,4469.676219
0.022,0.000978345,22.48695501
0.004,0.000842089,4.750091736
0.001,0.000788769,1.267798303
0.239,0.001036684,230.5427691
0.111,0.00096537,114.9818204
1.218,0.001152572,1056.766953
0.65,0.00095453,680.9634061
0.032,0.001017608,31.44629366
0.043,0.000806552,53.31336355
0.889,0.00092234,963.8528092
0.002,0.000851937,2.34759143
1.455,0.001190132,1222.553465
0.001,0.000971982,1.028825637
0.009,0.001172468,7.676115681
0.255,0.000852027,299.2862902
0.12,0.00076761,156.329386
0.082,0.000836028,98.08283933
2.522,0.001109871,2272.336154
0.818,0.000890891,918.18191
0.215,0.000794941,270.4603235
0.544,0.000900929,603.8211668
0.173,0.000828885,208.714116
0.001,0.000787918,1.269167604
1.364,0.000914635,1491.305275
0.002,0.000979236,2.042408572
2.34,0.001213606,1928.138127
0.296,0.000962685,307.4733688
0.001,0.000886422,1.128130845
0.001,0.000791193,1.263914115
0.17,0.000877526,193.7264537
9.345,0.001740303,5369.754577
0.003,0.001074214,2.792739622
4.459,0.001216702,3664.825076
0.002,0.000897983,2.227213655
1.53,0.000960642,1592.684892
3.384,0.001181495,2864.167855
0.367,0.000770875,476.0823739
0.004,0.000829684,4.821112616
0.01,0.000921296,10.85427485
0.003,0.001171815,2.560131079
2.106,0.001056529,1993.319634
0.001,0.000854221,1.170657242
0.063,0.001006526,62.59152769
0.001,0.000739596,1.352089519
0.249,0.000893984,278.5284748
1.054,0.000888284,1186.557452
0.052,0.000810689,64.14296975
